OBJECTID,n_sq_ir,c_cainsee,n_qu,c_ir,c_typeir,l_ir,m2_ip,m2_pop,m2_emp,nb_pop,nb_pop_n5,nb_pop_1999,nb_evo_pop,nb_evo_pop_n5,pct_evo_pop,pct_evo_pop_n5,nb_surface,nb_densite,nb_p_age_0,nb_p_age_5,nb_p_age_10,nb_p_age_15,nb_p_age_20,nb_p_age_25,nb_p_age_30,nb_p_age_35,nb_p_age_40,nb_p_age_45,nb_p_age_50,nb_p_age_55,nb_p_age_60,nb_p_age_65,nb_p_age_70,nb_p_age_75,nb_p_age_80,nb_p_age_85,nb_p_age_90p,nb_age_019,nb_age_60p,nb_age_65p,nb_age_75p,pct_age_019,pct_age_60p,pct_age_65p,pct_age_75p,nb_age_019_n5,nb_age_60p_n5,nb_age_65p_n5,nb_age_75p_n5,pct_age_019_n5,pct_age_60p_n5,pct_age_65p_n5,pct_age_75p_n5,pct_evo_age_019,pct_evo_age_60p,pct_evo_age_65p,pct_evo_age_75p,nb_etranger,pct_etranger,nb_etranger_n5,pct_etranger_n5,pct_evo_etranger,nb_immigre,pct_immigre,nb_immigre_n5,pct_immigre_n5,pct_evo_immigre,n_sq_epci,l_epci,shape_Length,shape_Area
1,930003891,93048,0,930480801,H,Bel Air Grands Pêchers 1,115523.688783,106227.518051,114780.364397,3057.04201685593,3217.43954,,-160.39752314407,,,,13.9705062882,218.821133163801,148.955730134045,177.943930921023,146.812865847245,170.520800612056,156.797214016876,182.506170176022,275.305355453986,307.793894049825,202.45782763452,239.346085006651,184.705757708501,250.304868229319,227.499419495641,156.929230076592,76.8331516664158,65.1173710426415,54.5755641646226,23.3869954716099,9.24978514833956,630.233326678119,624.591517722917,387.092097629954,147.329715528553,20.6157888312668,20.431237591078,12.6623087120034,4.81935526944693,716.909029,546.782728,346.803817,87.006563,22.2819736031466,16.9943435207488,10.7788759567491,2.70421749712195,-1.6661847718798,3.4368940703292,1.8834327552543,2.11513777232498,877.450019436992,28.7025829085405,914.105993,28.4109765431676,0.2916063653729,1060.1591287394,34.6792462417556,1108.278961,34.445991827402,0.233254414353603,140,T8 Est Ensemble,1927.1863274702,139705.062882486
2,930003875,93048,0,930480803,H,Bel Air Grands Pechers 3,88014.5476788,80896.9364351,81518.5408159,2040.3665988107,1954.406412,,85.9601868107,,,,10.675039682,191.134333884596,160.714191677498,182.856415859448,100.667935823885,121.644577318424,158.341600518689,139.423531447802,144.347828911971,125.967739020663,102.165017114463,121.059342435032,160.052720522699,130.756622077828,97.3690866860653,91.5868493945173,17.9244416550201,34.4179705026075,43.8662813302658,47.4896709812423,57.7147754131184,565.883120679255,392.369076082302,293.999989336504,185.488698346699,27.7343846448525,19.2303224484761,14.4091747780949,9.09094956047691,578.114079,370.133917,273.963417,180.639345,29.5800338890824,18.938431368593,14.0177301567306,9.24267050552431,-1.8456492442299,0.291891079883101,0.3914446213643,-0.151720945047401,477.167833142179,23.3863774000375,387.138965,19.8085189765536,3.5778584234839,650.452746599507,31.8792096958775,555.138345,28.4044475904022,3.4747621054753,140,T8 Est Ensemble,1597.14306596689,106750.396819788
3,930003874,93048,0,930480901,H,Ramenas Fabien Lagrange 1,158411.11947,138753.241185,149619.3908,1953.31102179556,2105.99899,,-152.68796820444,,,,20.9582967651,93.1998932779803,148.740526127101,105.996704215296,116.677913863283,87.5423123518429,119.686909206141,190.23094501316,224.099157610218,164.612076403975,156.925984851194,131.718425205564,159.914542988861,66.3071106921607,62.5946293721201,108.189667572277,42.8980949911709,26.3927910430027,21.0815674712884,15.085933178722,4.61572963818369,458.957456557524,281.858413326497,217.263783834912,67.1760213311968,23.4963839059093,14.4297764248216,11.1228463573197,3.43908474286117,576.910592,232.489845,163.369773,98.073337,27.3936784746511,11.0394091404574,7.75735286558708,4.65685584208186,-3.8972945687418,3.3903672843642,3.36549349173262,-1.21777109922069,571.623149970538,29.2643180523847,473.290871,22.4734614426382,6.7908566097465,617.07930995064,31.5914517997956,542.698413,25.7691677715382,5.8222840282574,140,T8 Est Ensemble,2494.94645265071,209582.967650609
4,930000933,93048,0,930480903,H,Ramenas Fabien Lagrange 3,129358.099697,122564.357448,127256.786265,2538.62447911712,2792.807944,,-254.18346488288,,,,15.7719269811,160.95842202156,160.623895249196,218.620275741245,140.666220036834,113.928778459999,158.228205513954,135.743866324703,254.660634487478,251.587875588094,171.711745200748,180.012291763032,183.645691936905,164.879127637298,112.103265192659,97.0816702317237,39.0945854038344,40.795705259812,61.0800683420861,38.0496034105238,14.1109732175324,635.839169606738,402.315871058171,290.212605865512,154.036350229954,25.046602001879,15.8477897919777,11.4318840085573,6.06770916679747,832.092047,453.713373,353.778001,164.301501,29.7941019821161,16.2457778013252,12.6674661521229,5.88302182944521,-4.7474999802371,-0.3979880093475,-1.2355821435656,0.18468733735226,482.698663261416,19.0141813896512,558.080268,19.9827657035625,-0.9685843139113,743.144048045348,29.2734925609714,808.10127,28.935082046587,0.3384105143844,140,T8 Est Ensemble,2349.69150604569,157719.269811047
5,930000935,93048,0,930481002,H,Branly Boissiere 2,220816.050579,82440.188747,214392.928769,1750.31759636488,2016.051249,,-265.73365263512,,,,26.1075373255,67.0426158753508,110.132824198238,66.2176490546151,131.217338755397,74.5888303505362,149.187436177658,113.213401369974,104.829432384227,127.660570152574,139.200345684068,102.573616520412,149.159791310556,194.902794258817,78.0565548617705,58.6752314710102,46.012516202491,54.4959124961483,42.0062285803416,9.18712259578009,0,385.156642537982,269.43356507263,203.377010927646,103.689263552806,22.0049574624564,15.3934100663902,11.6194347443016,5.92402566072303,560.305128,296.653727,199.146692,87.045683,27.792206585915,14.7145925554792,9.87805702353948,4.31763245320159,-5.7872491234586,0.678817510910999,1.74137772076212,1.60639320752144,480.247456051515,27.437732274926,606.285209,30.0729065940526,-2.6351743191266,588.273509250087,33.6095295203473,755.126358,37.4557124167631,-3.8461828964158,140,T8 Est Ensemble,2782.93033158198,261075.373255815
6,930003873,93048,0,930481003,H,Branly Boissiere 3,195342.010413,116427.926576,186534.827723,1751.80469402027,1805.879565,,-54.0748709797299,,,,23.2395407783,75.3803489807348,153.20246225546,124.502738281732,129.252177858165,98.3039739909852,111.304086756399,90.3167582892949,138.669461064283,91.9681594990464,122.344803858097,153.074701806251,120.843869167642,107.137699593018,117.25880662269,81.5176475453471,44.9500061210614,30.2644624232223,14.249103119578,21.2976091100196,1.34616665797567,505.261352386342,310.883801599895,193.624994977204,67.1573413107955,28.8423335153191,17.7464875314632,11.0528870962692,3.83360893711696,451.951571,290.038005,183.88574,103.66238,25.0266728612104,16.0607612280058,10.1826137004878,5.74027094658441,3.8156606541087,1.6857263034574,0.870273395781402,-1.90666200946745,368.152255566131,21.0155993315241,339.851431,18.8191636688685,2.1964356626556,479.363460756056,27.3639785526519,484.437854,26.8255903322102,0.5383882204417,140,T8 Est Ensemble,2670.69140333258,232395.407782302
7,930003883,93048,0,930481101,H,Montreau Ruffins Clos Arachis 1,81132.8449432,74665.0055203,75383.623033,2463.76711245289,2737.873501,,-274.10638854711,,,,10.9967295517,224.0454401347,204.332409110512,232.522707539961,212.142429178192,154.799333650641,140.22886205669,164.122331177367,158.101607906494,151.972586616945,177.949369083429,151.523224858869,129.345505245555,166.041334444861,122.919227583506,76.5835713895397,46.6544863380634,63.4898095868332,59.5811521096687,43.9612309504102,7.49593362535351,803.796879479306,420.685411583375,297.766183999868,174.528126272266,32.6247101609802,17.0748854247245,12.0858088613504,7.08379153979811,952.63129,342.50628,261.046911,141.206602,34.7945692031445,12.5099380915481,9.53465932245056,5.15752834995571,-2.1698590421643,4.5649473331764,2.55114953889984,1.9262631898424,543.9088613397,22.07630983426,518.380764,18.9337003265733,3.1426095076867,611.62497404034,24.8247884692078,719.068389,26.2637550178035,-1.4389665485957,140,T8 Est Ensemble,1751.88142320488,109967.295517247
8,930003884,93048,0,930481102,H,Montreau Ruffins Clos Arachis 2,121219.123413,90623.4143537,119963.580316,2072.36603682479,2100.387275,,-28.0212381752099,,,,14.0085215711,147.936099202656,133.730407929711,123.798982738671,206.588338656403,159.930030342442,134.708003686408,111.970635510736,119.669245674898,74.0562961004194,131.261192952901,161.181190769723,137.395036228754,120.146015667162,140.486638952071,89.073182036399,76.6736479111818,72.0528899106207,51.6280453902085,28.0162563660803,0,624.047759667226,457.930660566561,317.44402161449,151.697191666909,30.1128154282711,22.0969969797511,15.3179513644639,7.31999989245791,646.711334,362.457066,252.512722,115.022834,30.7900996019889,17.2566778667044,12.022198239608,5.47626789445294,-0.677284173717798,4.8403191130467,3.2957531248559,1.84373199800497,300.942496026307,14.5216863564991,324.61417,15.4549674654642,-0.933281108965101,414.074961980259,19.9807830577406,424.883802,20.2288314663304,-0.248048408589803,140,T8 Est Ensemble,2459.53447930285,140085.215711027
9,930000942,93049,0,930490101,H,Bel Air,511025.485616,350885.746543,368762.304416,2152.97227622667,2141.612948,,11.3593282266702,,,,58.2198232851,36.9800551555036,141.82754766196,185.287965722425,130.477347984457,175.752183342259,114.216328553961,114.657412810266,154.543774235236,118.555610513044,178.85357936324,158.809205968064,165.743008200917,121.029689158628,120.061668048671,99.1113768751451,46.814788356822,37.4061572541855,33.8472656012429,43.4033332190709,12.5740333570706,633.3450447111,393.218622712208,273.156954663537,127.23078943157,29.4172410720081,18.2639891397658,12.6874348397219,5.90954146676503,517.124967,416.243838,291.397207,164.553555,24.1465185146051,19.4359974517674,13.6064365539127,7.68362720040858,5.270722557403,-1.1720083120016,-0.919001714190799,-1.77408573364355,138.173173445644,6.41778693443319,136.635162,6.38001194975965,0.0377749846735398,196.510248484348,9.12739335542001,254.62813,11.8895494275841,-2.76215607216409,141,T9 Grand Paris - Grand Est,3911.45688970078,582198.232852278
10,930001154,93071,0,930710118,H,Perrin 1,248132.097236,220639.003045,229008.346974,2353.56753727246,2395.293569,,-41.72603172754,,,,31.0877623941,75.7072029641841,111.273918210734,154.773486505214,165.332397964746,238.072345934083,212.777476540061,111.771441617165,166.597437057705,71.9268437476076,163.28608562564,169.962622756867,180.839876206795,171.449170680584,148.247991429617,110.140629348769,75.1945998268707,34.8558774167835,26.7639689601353,25.3448534556386,14.9565139874462,669.452148614777,435.50443442526,287.256442995643,101.921213820004,28.4441443898654,18.5040126330925,12.2051497756696,4.33049879410387,773.466709,393.520813,281.305549,117.832687,32.2911028113732,16.4289178618005,11.7440948633883,4.91934218523341,-3.8469584215078,2.075094771292,0.4610549122813,-0.58884339112954,416.415966261901,17.6929686387706,587.093149,24.5102795163894,-6.8173108776188,744.916091257667,31.6505084073749,781.235567,32.6154412599268,-0.964932852551897,139,T7 Paris Terres d'Envol,2413.70074903555,310877.623940758
